serial_number,part_number,production_time,line,shift,operator_id,machine_id,connector_force_n,contact_resistance_mohm,eol_result,firmware_version,connector_lot,pcba_lot
SN-EPS100015,EPS-2200-A,2025-04-21 21:54:50,Line 1,Day,OP-101,PRESS-4A,60.7,18.0,Pass,3.8.1,CON-765,PCB-A191
SN-EPS100016,EPS-2200-A,2025-04-22 00:22:41,Line 2,Evening,OP-203,PRESS-4B,56.4,22.2,Pass,3.8.1,CON-768,PCB-A193
SN-EPS100017,EPS-2200-A,2025-04-22 03:03:32,Line 2,Evening,OP-203,PRESS-4B,60.2,29.2,Pass,3.8.1,CON-774,PCB-A190
SN-EPS100018,EPS-2200-A,2025-04-22 05:53:23,Line 1,Day,OP-102,PRESS-4A,48.1,51.5,Marginal,3.8.0,CON-768,PCB-A191
SN-EPS100019,EPS-2200-B,2025-04-22 09:12:13,Line 1,Day,OP-101,PRESS-4A,51.7,45.6,Pass,3.8.1,CON-777,PCB-A191
SN-EPS100020,EPS-2200-B,2025-04-22 11:30:04,Line 1,Evening,OP-104,PRESS-4A,47.2,57.3,Marginal,3.8.0,CON-765,PCB-A193
SN-EPS100021,EPS-2200-A,2025-04-22 14:51:55,Line 2,Day,OP-202,PRESS-4B,59.3,30.1,Pass,3.8.1,CON-768,PCB-A190
SN-EPS100022,EPS-2200-A,2025-04-22 17:39:46,Line 1,Day,OP-101,PRESS-4A,48.1,56.7,Marginal,3.8.0,CON-777,PCB-A190
SN-EPS100023,EPS-2200-A,2025-04-22 20:33:36,Line 1,Day,OP-102,PRESS-4A,56.6,41.6,Pass,3.8.1,CON-774,PCB-A192
SN-EPS100024,EPS-2200-A,2025-04-22 23:11:27,Line 1,Evening,OP-103,PRESS-4A,42.8,64.3,Marginal,3.8.1,CON-774,PCB-A190
SN-EPS100025,EPS-2200-B,2025-04-23 01:40:18,Line 1,Evening,OP-104,PRESS-4A,54.2,43.3,Pass,3.8.1,CON-768,PCB-A191
SN-EPS100026,EPS-2200-B,2025-04-23 04:45:09,Line 1,Evening,OP-103,PRESS-4A,54.9,32.2,Pass,3.8.0,CON-765,PCB-A190
SN-EPS100027,EPS-2200-A,2025-04-23 07:29:00,Line 2,Day,OP-201,PRESS-4B,50.6,35.4,Pass,3.8.0,CON-771,PCB-A190
SN-EPS100028,EPS-2200-B,2025-04-23 10:26:50,Line 1,Evening,OP-103,PRESS-4A,61.4,32.7,Pass,3.8.1,CON-768,PCB-A193
SN-EPS100029,EPS-2200-A,2025-04-23 13:04:41,Line 1,Evening,OP-104,PRESS-4A,49.6,56.2,Marginal,3.8.1,CON-777,PCB-A190
SN-EPS100030,EPS-2200-A,2025-04-23 15:47:32,Line 2,Day,OP-201,PRESS-4B,57.3,29.1,Pass,3.8.1,CON-768,PCB-A193
SN-EPS100031,EPS-2200-B,2025-04-23 18:46:23,Line 2,Day,OP-201,PRESS-4B,54.4,47.1,Pass,3.8.0,CON-768,PCB-A193
SN-EPS100032,EPS-2200-B,2025-04-23 21:27:13,Line 2,Day,OP-201,PRESS-4B,55.9,42.5,Pass,3.8.1,CON-768,PCB-A192
SN-EPS100033,EPS-2200-A,2025-04-24 00:32:04,Line 1,Evening,OP-103,PRESS-4A,62.0,32.8,Pass,3.8.1,CON-771,PCB-A192
SN-EPS100034,EPS-2200-A,2025-04-24 03:20:55,Line 1,Day,OP-102,PRESS-4A,51.7,37.3,Pass,3.8.1,CON-777,PCB-A192
SN-EPS100035,EPS-2200-B,2025-04-24 06:30:46,Line 1,Evening,OP-104,PRESS-4A,47.2,56.4,Marginal,3.8.0,CON-765,PCB-A191
SN-EPS100036,EPS-2200-A,2025-04-24 09:23:36,Line 2,Day,OP-202,PRESS-4B,53.6,30.9,Pass,3.8.1,CON-771,PCB-A192
SN-EPS100037,EPS-2200-A,2025-04-24 11:58:27,Line 1,Evening,OP-103,PRESS-4A,50.8,46.8,Pass,3.8.0,CON-774,PCB-A192
SN-EPS100038,EPS-2200-A,2025-04-24 14:53:18,Line 2,Evening,OP-203,PRESS-4B,53.9,46.3,Pass,3.8.1,CON-768,PCB-A191
SN-EPS100039,EPS-2200-B,2025-04-24 17:19:09,Line 1,Evening,OP-103,PRESS-4A,59.8,25.5,Pass,3.8.0,CON-768,PCB-A190
SN-EPS100040,EPS-2200-A,2025-04-24 20:33:00,Line 2,Day,OP-201,PRESS-4B,55.4,30.6,Pass,3.8.0,CON-774,PCB-A190
SN-EPS100041,EPS-2200-A,2025-04-24 23:26:50,Line 2,Day,OP-201,PRESS-4B,56.6,24.0,Pass,3.8.1,CON-777,PCB-A193
SN-EPS100042,EPS-2200-B,2025-04-25 02:21:41,Line 2,Evening,OP-204,PRESS-4B,59.6,20.8,Pass,3.8.1,CON-777,PCB-A193
SN-EPS100043,EPS-2200-A,2025-04-25 04:49:32,Line 1,Evening,OP-103,PRESS-4A,54.4,32.4,Pass,3.8.0,CON-777,PCB-A193
SN-EPS100044,EPS-2200-A,2025-04-25 07:57:23,Line 1,Day,OP-101,PRESS-4A,52.3,43.4,Pass,3.8.1,CON-768,PCB-A191
SN-EPS100045,EPS-2200-B,2025-04-25 10:16:13,Line 1,Evening,OP-104,PRESS-4A,46.7,53.3,Marginal,3.8.1,CON-774,PCB-A190
SN-EPS100046,EPS-2200-A,2025-04-25 13:27:04,Line 2,Day,OP-202,PRESS-4B,52.3,48.4,Pass,3.8.1,CON-774,PCB-A190
SN-EPS100047,EPS-2200-A,2025-04-25 16:02:55,Line 2,Day,OP-201,PRESS-4B,53.8,35.2,Pass,3.8.1,CON-777,PCB-A190
SN-EPS100048,EPS-2200-A,2025-04-25 18:45:46,Line 2,Evening,OP-204,PRESS-4B,55.1,24.0,Pass,3.8.0,CON-771,PCB-A193
SN-EPS100049,EPS-2200-A,2025-04-25 21:37:36,Line 2,Day,OP-201,PRESS-4B,56.0,25.1,Pass,3.8.1,CON-777,PCB-A191
SN-EPS100050,EPS-2200-A,2025-04-26 00:37:27,Line 1,Day,OP-101,PRESS-4A,52.4,41.4,Pass,3.8.0,CON-777,PCB-A190
SN-EPS100051,EPS-2200-A,2025-04-26 03:50:18,Line 1,Day,OP-102,PRESS-4A,50.6,49.6,Pass,3.8.0,CON-771,PCB-A192
SN-EPS100052,EPS-2200-B,2025-04-26 06:42:09,Line 1,Day,OP-101,PRESS-4A,52.9,44.7,Pass,3.8.1,CON-771,PCB-A190
SN-EPS100053,EPS-2200-B,2025-04-26 09:24:00,Line 2,Day,OP-202,PRESS-4B,54.0,31.2,Pass,3.8.0,CON-774,PCB-A192
SN-EPS100054,EPS-2200-B,2025-04-26 11:58:50,Line 2,Evening,OP-203,PRESS-4B,55.7,31.9,Pass,3.8.1,CON-774,PCB-A192
SN-EPS100055,EPS-2200-A,2025-04-26 14:46:41,Line 2,Evening,OP-204,PRESS-4B,56.5,43.1,Pass,3.8.1,CON-771,PCB-A191
SN-EPS100056,EPS-2200-B,2025-04-26 17:59:32,Line 2,Day,OP-202,PRESS-4B,52.6,38.5,Pass,3.8.0,CON-777,PCB-A193
SN-EPS100057,EPS-2200-A,2025-04-26 20:42:23,Line 2,Day,OP-202,PRESS-4B,53.3,33.8,Pass,3.8.1,CON-765,PCB-A191
SN-EPS100058,EPS-2200-B,2025-04-26 23:23:13,Line 2,Evening,OP-203,PRESS-4B,56.7,35.0,Pass,3.8.0,CON-771,PCB-A192
SN-EPS100059,EPS-2200-B,2025-04-27 02:25:04,Line 1,Day,OP-101,PRESS-4A,56.5,28.3,Pass,3.8.0,CON-768,PCB-A192
SN-EPS100060,EPS-2200-A,2025-04-27 04:59:55,Line 1,Day,OP-101,PRESS-4A,51.2,35.1,Pass,3.8.0,CON-771,PCB-A192
SN-EPS100061,EPS-2200-A,2025-04-27 07:30:46,Line 2,Evening,OP-204,PRESS-4B,58.7,26.0,Pass,3.8.0,CON-774,PCB-A190
SN-EPS100062,EPS-2200-A,2025-04-27 10:45:36,Line 2,Day,OP-202,PRESS-4B,57.3,33.4,Pass,3.8.0,CON-777,PCB-A191
SN-EPS100063,EPS-2200-B,2025-04-27 13:36:27,Line 1,Evening,OP-104,PRESS-4A,53.9,36.7,Pass,3.8.0,CON-774,PCB-A193
SN-EPS100064,EPS-2200-A,2025-04-27 16:06:18,Line 1,Day,OP-101,PRESS-4A,57.0,36.8,Pass,3.8.0,CON-771,PCB-A191
SN-EPS100065,EPS-2200-A,2025-04-27 19:20:09,Line 2,Day,OP-201,PRESS-4B,52.0,28.6,Pass,3.8.0,CON-768,PCB-A193
SN-EPS100066,EPS-2200-A,2025-04-27 22:20:00,Line 1,Evening,OP-103,PRESS-4A,56.9,33.5,Pass,3.8.1,CON-765,PCB-A192
SN-EPS100067,EPS-2200-A,2025-04-28 01:05:50,Line 2,Evening,OP-204,PRESS-4B,50.9,43.3,Pass,3.8.0,CON-765,PCB-A193
SN-EPS100068,EPS-2200-A,2025-04-28 03:21:41,Line 2,Evening,OP-204,PRESS-4B,49.7,40.9,Pass,3.8.0,CON-777,PCB-A190
SN-EPS100069,EPS-2200-B,2025-04-28 06:42:32,Line 2,Evening,OP-203,PRESS-4B,51.5,43.3,Pass,3.8.1,CON-768,PCB-A193
SN-EPS100070,EPS-2200-A,2025-04-28 09:05:23,Line 1,Evening,OP-103,PRESS-4A,52.1,42.5,Pass,3.8.0,CON-774,PCB-A193
SN-EPS100071,EPS-2200-A,2025-04-28 12:14:13,Line 1,Evening,OP-104,PRESS-4A,55.1,31.3,Pass,3.8.1,CON-774,PCB-A193
SN-EPS100072,EPS-2200-A,2025-04-28 14:57:04,Line 2,Evening,OP-203,PRESS-4B,54.8,36.8,Pass,3.8.1,CON-765,PCB-A191
SN-EPS100073,EPS-2200-A,2025-04-28 17:42:55,Line 1,Evening,OP-104,PRESS-4A,51.5,45.6,Pass,3.8.0,CON-765,PCB-A192
SN-EPS100074,EPS-2200-B,2025-04-28 20:47:46,Line 1,Evening,OP-103,PRESS-4A,54.0,47.9,Pass,3.8.1,CON-768,PCB-A191
SN-EPS100075,EPS-2200-B,2025-04-28 23:40:36,Line 2,Day,OP-201,PRESS-4B,51.2,45.0,Pass,3.8.1,CON-771,PCB-A193
SN-EPS100076,EPS-2200-B,2025-04-29 02:32:27,Line 2,Evening,OP-204,PRESS-4B,55.6,44.7,Pass,3.8.1,CON-771,PCB-A191
SN-EPS100077,EPS-2200-A,2025-04-29 05:18:18,Line 2,Evening,OP-203,PRESS-4B,57.7,25.8,Pass,3.8.0,CON-768,PCB-A192
SN-EPS100078,EPS-2200-B,2025-04-29 08:07:09,Line 1,Day,OP-102,PRESS-4A,55.5,29.9,Pass,3.8.1,CON-774,PCB-A190
SN-EPS100079,EPS-2200-A,2025-04-29 10:53:00,Line 1,Evening,OP-103,PRESS-4A,53.1,36.2,Pass,3.8.0,CON-777,PCB-A193
SN-EPS100080,EPS-2200-B,2025-04-29 13:35:50,Line 1,Day,OP-102,PRESS-4A,56.5,37.0,Fail,3.8.1,CON-774,PCB-A190
SN-EPS100081,EPS-2200-A,2025-04-29 16:10:41,Line 2,Evening,OP-203,PRESS-4B,55.7,36.3,Pass,3.8.0,CON-771,PCB-A193
SN-EPS100082,EPS-2200-A,2025-04-29 19:36:32,Line 1,Evening,OP-104,PRESS-4A,55.0,36.3,Pass,3.8.1,CON-777,PCB-A192
SN-EPS100083,EPS-2200-B,2025-04-29 22:05:23,Line 1,Day,OP-102,PRESS-4A,53.6,32.0,Pass,3.8.1,CON-774,PCB-A192
SN-EPS100084,EPS-2200-A,2025-04-30 01:01:13,Line 2,Day,OP-202,PRESS-4B,61.5,24.7,Pass,3.8.1,CON-768,PCB-A192
SN-EPS100085,EPS-2200-B,2025-04-30 03:27:04,Line 1,Evening,OP-103,PRESS-4A,51.8,35.3,Pass,3.8.0,CON-771,PCB-A192
SN-EPS100086,EPS-2200-B,2025-04-30 06:24:55,Line 1,Day,OP-101,PRESS-4A,57.5,33.4,Pass,3.8.0,CON-771,PCB-A192
SN-EPS100087,EPS-2200-B,2025-04-30 09:17:46,Line 1,Day,OP-101,PRESS-4A,54.7,47.3,Pass,3.8.1,CON-777,PCB-A192
SN-EPS100088,EPS-2200-B,2025-04-30 12:14:36,Line 2,Day,OP-202,PRESS-4B,61.2,21.5,Pass,3.8.0,CON-774,PCB-A191
SN-EPS100089,EPS-2200-A,2025-04-30 15:11:27,Line 1,Evening,OP-104,PRESS-4A,58.7,15.7,Pass,3.8.1,CON-777,PCB-A192
SN-EPS100090,EPS-2200-B,2025-04-30 17:50:18,Line 2,Day,OP-201,PRESS-4B,52.4,35.4,Pass,3.8.1,CON-777,PCB-A191
SN-EPS100091,EPS-2200-B,2025-04-30 20:52:09,Line 1,Day,OP-101,PRESS-4A,61.0,31.3,Pass,3.8.0,CON-765,PCB-A193
SN-EPS100092,EPS-2200-B,2025-04-30 23:45:00,Line 2,Evening,OP-203,PRESS-4B,57.4,23.8,Pass,3.8.0,CON-777,PCB-A193
SN-EPS100093,EPS-2200-A,2025-05-01 02:22:50,Line 1,Evening,OP-103,PRESS-4A,58.3,28.5,Pass,3.8.1,CON-768,PCB-A192
SN-EPS100094,EPS-2200-A,2025-05-01 05:17:41,Line 1,Evening,OP-103,PRESS-4A,52.4,33.1,Pass,3.8.0,CON-771,PCB-A193
SN-EPS100095,EPS-2200-B,2025-05-01 07:46:32,Line 1,Evening,OP-103,PRESS-4A,57.1,24.8,Pass,3.8.1,CON-768,PCB-A191
SN-EPS100096,EPS-2200-A,2025-05-01 10:49:23,Line 2,Day,OP-201,PRESS-4B,48.9,44.4,Pass,3.8.1,CON-777,PCB-A191
SN-EPS100097,EPS-2200-B,2025-05-01 13:26:13,Line 1,Day,OP-101,PRESS-4A,55.5,36.3,Pass,3.8.0,CON-771,PCB-A192
SN-EPS100098,EPS-2200-A,2025-05-01 16:48:04,Line 1,Day,OP-102,PRESS-4A,46.6,51.1,Marginal,3.8.1,CON-774,PCB-A190
SN-EPS100099,EPS-2200-A,2025-05-01 19:37:55,Line 2,Evening,OP-204,PRESS-4B,53.4,32.1,Pass,3.8.1,CON-765,PCB-A193
SN-EPS100100,EPS-2200-A,2025-05-01 21:58:46,Line 1,Evening,OP-104,PRESS-4A,59.3,27.1,Pass,3.8.0,CON-777,PCB-A192
SN-EPS100101,EPS-2200-B,2025-05-02 01:22:36,Line 2,Day,OP-202,PRESS-4B,52.6,41.4,Pass,3.8.1,CON-765,PCB-A191
SN-EPS100102,EPS-2200-A,2025-05-02 04:03:27,Line 2,Evening,OP-204,PRESS-4B,60.1,23.2,Pass,3.8.0,CON-765,PCB-A192
SN-EPS100103,EPS-2200-A,2025-05-02 06:29:18,Line 1,Day,OP-101,PRESS-4A,51.2,38.7,Pass,3.8.1,CON-774,PCB-A191
SN-EPS100104,EPS-2200-B,2025-05-02 09:21:09,Line 2,Evening,OP-204,PRESS-4B,52.3,47.0,Pass,3.8.1,CON-774,PCB-A192
SN-EPS100105,EPS-2200-B,2025-05-02 12:34:00,Line 1,Day,OP-101,PRESS-4A,57.4,20.1,Pass,3.8.1,CON-771,PCB-A192
SN-EPS100106,EPS-2200-A,2025-05-02 15:32:50,Line 1,Evening,OP-104,PRESS-4A,53.7,41.0,Pass,3.8.1,CON-765,PCB-A192
SN-EPS100107,EPS-2200-A,2025-05-02 18:08:41,Line 1,Day,OP-102,PRESS-4A,53.0,40.3,Pass,3.8.1,CON-765,PCB-A193
SN-EPS100108,EPS-2200-A,2025-05-02 20:53:32,Line 1,Day,OP-102,PRESS-4A,51.6,44.2,Pass,3.8.1,CON-768,PCB-A190
SN-EPS100109,EPS-2200-A,2025-05-02 23:49:23,Line 2,Day,OP-202,PRESS-4B,52.0,40.3,Pass,3.8.1,CON-777,PCB-A192
SN-EPS100110,EPS-2200-A,2025-05-03 02:51:13,Line 1,Day,OP-102,PRESS-4A,54.6,39.2,Pass,3.8.0,CON-768,PCB-A191
SN-EPS100111,EPS-2200-A,2025-05-03 05:30:04,Line 1,Day,OP-101,PRESS-4A,50.4,50.2,Marginal,3.8.0,CON-774,PCB-A192
SN-EPS100112,EPS-2200-A,2025-05-03 08:21:55,Line 1,Evening,OP-104,PRESS-4A,55.5,35.4,Pass,3.8.1,CON-777,PCB-A193
SN-EPS100113,EPS-2200-A,2025-05-03 11:21:46,Line 2,Evening,OP-204,PRESS-4B,51.5,41.2,Pass,3.8.0,CON-765,PCB-A193
SN-EPS100114,EPS-2200-A,2025-05-03 13:53:36,Line 1,Evening,OP-104,PRESS-4A,49.8,57.6,Marginal,3.8.1,CON-768,PCB-A191
SN-EPS100115,EPS-2200-A,2025-05-03 16:31:27,Line 1,Day,OP-101,PRESS-4A,57.7,39.6,Pass,3.8.0,CON-768,PCB-A191
SN-EPS100116,EPS-2200-A,2025-05-03 19:48:18,Line 2,Evening,OP-204,PRESS-4B,56.3,25.3,Pass,3.8.0,CON-771,PCB-A193
SN-EPS100117,EPS-2200-A,2025-05-03 22:06:09,Line 2,Evening,OP-203,PRESS-4B,49.1,33.7,Pass,3.8.1,CON-774,PCB-A192
SN-EPS100118,EPS-2200-A,2025-05-04 01:30:00,Line 2,Evening,OP-204,PRESS-4B,58.8,24.1,Pass,3.8.1,CON-777,PCB-A190
SN-EPS100119,EPS-2200-A,2025-05-04 04:19:50,Line 2,Day,OP-201,PRESS-4B,52.8,39.6,Pass,3.8.1,CON-765,PCB-A192
SN-EPS100120,EPS-2200-A,2025-05-04 06:59:41,Line 2,Day,OP-202,PRESS-4B,54.5,34.7,Pass,3.8.0,CON-771,PCB-A193
SN-EPS100121,EPS-2200-A,2025-05-04 09:42:32,Line 1,Evening,OP-103,PRESS-4A,52.7,46.7,Pass,3.8.1,CON-765,PCB-A192
SN-EPS100122,EPS-2200-A,2025-05-04 12:33:23,Line 2,Evening,OP-204,PRESS-4B,53.1,34.9,Pass,3.8.1,CON-768,PCB-A192
SN-EPS100123,EPS-2200-A,2025-05-04 15:34:13,Line 1,Evening,OP-103,PRESS-4A,51.7,50.3,Marginal,3.8.1,CON-777,PCB-A191
SN-EPS100124,EPS-2200-B,2025-05-04 17:59:04,Line 1,Day,OP-102,PRESS-4A,58.5,23.0,Pass,3.8.0,CON-771,PCB-A190
SN-EPS100125,EPS-2200-B,2025-05-04 20:49:55,Line 1,Day,OP-101,PRESS-4A,50.5,48.8,Pass,3.8.0,CON-777,PCB-A193
SN-EPS100126,EPS-2200-A,2025-05-04 23:58:46,Line 2,Evening,OP-203,PRESS-4B,49.3,57.1,Marginal,3.8.0,CON-768,PCB-A193
SN-EPS100127,EPS-2200-A,2025-05-05 02:49:36,Line 2,Evening,OP-203,PRESS-4B,55.8,32.6,Pass,3.8.1,CON-777,PCB-A191
SN-EPS100128,EPS-2200-A,2025-05-05 05:33:27,Line 1,Day,OP-101,PRESS-4A,55.7,31.9,Pass,3.8.0,CON-771,PCB-A193
SN-EPS100129,EPS-2200-A,2025-05-05 08:28:18,Line 2,Day,OP-202,PRESS-4B,58.4,28.8,Marginal,3.8.1,CON-774,PCB-A191
SN-EPS100130,EPS-2200-A,2025-05-05 11:11:09,Line 1,Day,OP-102,PRESS-4A,54.7,36.3,Pass,3.8.1,CON-765,PCB-A191
SN-EPS100131,EPS-2200-B,2025-05-05 13:56:00,Line 1,Day,OP-101,PRESS-4A,55.4,30.4,Pass,3.8.1,CON-777,PCB-A193
SN-EPS100132,EPS-2200-A,2025-05-05 16:44:50,Line 2,Evening,OP-203,PRESS-4B,54.4,31.8,Fail,3.8.1,CON-765,PCB-A190
SN-EPS100133,EPS-2200-A,2025-05-05 19:34:41,Line 2,Day,OP-202,PRESS-4B,55.7,32.9,Pass,3.8.1,CON-765,PCB-A190
SN-EPS100134,EPS-2200-B,2025-05-05 22:32:32,Line 2,Day,OP-202,PRESS-4B,57.2,35.5,Pass,3.8.0,CON-771,PCB-A190
SN-EPS100135,EPS-2200-B,2025-05-06 01:10:23,Line 2,Evening,OP-203,PRESS-4B,54.7,37.8,Pass,3.8.0,CON-768,PCB-A193
SN-EPS100136,EPS-2200-A,2025-05-06 03:51:13,Line 2,Evening,OP-204,PRESS-4B,59.9,28.2,Pass,3.8.1,CON-777,PCB-A193
SN-EPS100137,EPS-2200-B,2025-05-06 06:42:04,Line 2,Evening,OP-204,PRESS-4B,57.7,26.7,Pass,3.8.1,CON-765,PCB-A193
SN-EPS100138,EPS-2200-A,2025-05-06 09:59:55,Line 2,Evening,OP-203,PRESS-4B,44.7,63.3,Marginal,3.8.0,CON-777,PCB-A193
SN-EPS100139,EPS-2200-A,2025-05-06 12:36:46,Line 2,Day,OP-202,PRESS-4B,56.9,37.5,Pass,3.8.0,CON-765,PCB-A193
SN-EPS100140,EPS-2200-A,2025-05-06 15:30:36,Line 2,Evening,OP-203,PRESS-4B,56.9,30.9,Pass,3.8.1,CON-765,PCB-A192
SN-EPS100141,EPS-2200-A,2025-05-06 18:26:27,Line 1,Day,OP-102,PRESS-4A,55.9,33.3,Pass,3.8.1,CON-765,PCB-A192
SN-EPS100142,EPS-2200-B,2025-05-06 21:16:18,Line 2,Evening,OP-204,PRESS-4B,53.9,42.0,Pass,3.8.1,CON-774,PCB-A192
SN-EPS100143,EPS-2200-A,2025-05-06 23:39:09,Line 1,Evening,OP-104,PRESS-4A,54.3,32.8,Pass,3.8.1,CON-777,PCB-A192
SN-EPS100144,EPS-2200-B,2025-05-07 02:59:00,Line 1,Day,OP-101,PRESS-4A,58.4,14.5,Pass,3.8.1,CON-768,PCB-A193
SN-EPS100145,EPS-2200-B,2025-05-07 05:39:50,Line 1,Evening,OP-104,PRESS-4A,53.2,38.8,Pass,3.8.1,CON-771,PCB-A191
SN-EPS100146,EPS-2200-A,2025-05-07 08:15:41,Line 1,Evening,OP-103,PRESS-4A,53.9,35.9,Pass,3.8.1,CON-765,PCB-A193
SN-EPS100147,EPS-2200-A,2025-05-07 11:27:32,Line 2,Evening,OP-204,PRESS-4B,50.9,44.8,Pass,3.8.1,CON-777,PCB-A190
SN-EPS100148,EPS-2200-A,2025-05-07 14:22:23,Line 1,Day,OP-101,PRESS-4A,54.3,40.2,Pass,3.8.1,CON-774,PCB-A190
SN-EPS100149,EPS-2200-A,2025-05-07 16:51:13,Line 2,Evening,OP-203,PRESS-4B,51.6,36.1,Pass,3.8.1,CON-765,PCB-A192
SN-EPS100150,EPS-2200-B,2025-05-07 19:37:04,Line 1,Day,OP-101,PRESS-4A,62.4,28.6,Pass,3.8.1,CON-777,PCB-A190
SN-EPS100151,EPS-2200-A,2025-05-07 22:32:55,Line 1,Evening,OP-104,PRESS-4A,48.7,48.6,Pass,3.8.1,CON-777,PCB-A192
SN-EPS100152,EPS-2200-A,2025-05-08 01:25:46,Line 2,Day,OP-201,PRESS-4B,54.0,40.2,Pass,3.8.1,CON-765,PCB-A193
SN-EPS100153,EPS-2200-B,2025-05-08 04:16:36,Line 2,Evening,OP-204,PRESS-4B,55.1,38.4,Pass,3.8.1,CON-768,PCB-A190
SN-EPS100154,EPS-2200-B,2025-05-08 06:55:27,Line 1,Day,OP-101,PRESS-4A,62.3,18.6,Pass,3.8.1,CON-771,PCB-A193
SN-EPS100155,EPS-2200-A,2025-05-08 10:12:18,Line 2,Day,OP-202,PRESS-4B,53.5,38.4,Pass,3.8.1,CON-768,PCB-A193
SN-EPS100156,EPS-2200-A,2025-05-08 12:55:09,Line 1,Day,OP-102,PRESS-4A,54.9,36.4,Pass,3.8.0,CON-777,PCB-A193
SN-EPS100157,EPS-2200-A,2025-05-08 15:24:00,Line 2,Evening,OP-204,PRESS-4B,53.7,37.2,Pass,3.8.1,CON-774,PCB-A191
SN-EPS100158,EPS-2200-B,2025-05-08 18:40:50,Line 2,Day,OP-202,PRESS-4B,55.1,31.3,Pass,3.8.1,CON-768,PCB-A192
SN-EPS100159,EPS-2200-A,2025-05-08 21:27:41,Line 1,Day,OP-102,PRESS-4A,59.4,37.4,Pass,3.8.0,CON-765,PCB-A193
SN-EPS100160,EPS-2200-B,2025-05-09 00:24:32,Line 2,Day,OP-202,PRESS-4B,50.8,43.2,Pass,3.8.1,CON-774,PCB-A192
SN-EPS100161,EPS-2200-A,2025-05-09 03:11:23,Line 2,Evening,OP-204,PRESS-4B,56.6,23.2,Pass,3.8.1,CON-765,PCB-A193
SN-EPS100162,EPS-2200-A,2025-05-09 05:26:13,Line 2,Evening,OP-203,PRESS-4B,49.5,44.5,Pass,3.8.1,CON-777,PCB-A193
SN-EPS100163,EPS-2200-A,2025-05-09 08:39:04,Line 1,Day,OP-101,PRESS-4A,51.6,44.2,Pass,3.8.1,CON-765,PCB-A191
SN-EPS100164,EPS-2200-B,2025-05-09 11:17:55,Line 2,Evening,OP-204,PRESS-4B,52.0,40.4,Pass,3.8.1,CON-765,PCB-A192
SN-EPS100165,EPS-2200-A,2025-05-09 14:28:46,Line 2,Evening,OP-204,PRESS-4B,52.7,38.3,Pass,3.8.0,CON-771,PCB-A191
SN-EPS100166,EPS-2200-A,2025-05-09 17:03:36,Line 2,Day,OP-202,PRESS-4B,58.8,34.5,Pass,3.8.0,CON-774,PCB-A192
SN-EPS100167,EPS-2200-A,2025-05-09 19:59:27,Line 2,Day,OP-202,PRESS-4B,59.5,22.9,Pass,3.8.1,CON-771,PCB-A190
