serial_number,part_number,ship_date,destination,vin,status
SN-EPS100026,EPS-2200-B,2025-04-28,Northbridge Assembly Plant - Danforth,1NB700043EPS2025,Delivered
SN-EPS100159,EPS-2200-A,2025-05-12,Northbridge Assembly Plant - Danforth,1NB700044EPS2025,Delivered
SN-EPS100019,EPS-2200-B,2025-04-25,Northbridge Assembly Plant - Riverbend,1NB700045EPS2025,Delivered
SN-EPS100238,EPS-2200-B,2025-05-22,Northbridge Assembly Plant - Riverbend,1NB700046EPS2025,In-Transit
SN-EPS100140,EPS-2200-A,2025-05-11,Northbridge Assembly Plant - Danforth,1NB700047EPS2025,Delivered
SN-EPS100069,EPS-2200-B,2025-05-02,Northbridge Assembly Plant - Riverbend,1NB700048EPS2025,Delivered
SN-EPS100098,EPS-2200-A,2025-05-02,Northbridge Assembly Plant - Riverbend,1NB700049EPS2025,Delivered
SN-EPS100168,EPS-2200-A,2025-05-11,Northbridge Assembly Plant - Riverbend,1NB700050EPS2025,Delivered
SN-EPS100091,EPS-2200-B,2025-05-03,Northbridge Assembly Plant - Riverbend,1NB700051EPS2025,Delivered
SN-EPS100206,EPS-2200-A,2025-05-18,Northbridge Assembly Plant - Danforth,1NB700052EPS2025,In-Transit
SN-EPS100061,EPS-2200-A,2025-05-02,Third-Party Warehouse - Midwest DC,1NB700053EPS2025,Delivered
SN-EPS100248,EPS-2200-A,2025-05-21,Northbridge Assembly Plant - Riverbend,1NB700054EPS2025,In-Transit
SN-EPS100017,EPS-2200-A,2025-04-24,Northbridge Assembly Plant - Riverbend,1NB700055EPS2025,Delivered
SN-EPS100056,EPS-2200-B,2025-04-27,Northbridge Assembly Plant - Danforth,1NB700056EPS2025,Delivered
SN-EPS100126,EPS-2200-A,2025-05-06,Northbridge Assembly Plant - Danforth,1NB700057EPS2025,Delivered
SN-EPS100074,EPS-2200-B,2025-05-02,Northbridge Assembly Plant - Riverbend,1NB700058EPS2025,Delivered
SN-EPS100227,EPS-2200-A,2025-05-18,Northbridge Assembly Plant - Riverbend,1NB700059EPS2025,In-Transit
SN-EPS100080,EPS-2200-B,2025-05-04,Northbridge Assembly Plant - Riverbend,1NB700060EPS2025,Delivered
SN-EPS100183,EPS-2200-A,2025-05-14,Third-Party Warehouse - Midwest DC,1NB700061EPS2025,Delivered
SN-EPS100039,EPS-2200-B,2025-04-25,Northbridge Assembly Plant - Danforth,1NB700062EPS2025,Delivered
SN-EPS100067,EPS-2200-A,2025-05-01,Third-Party Warehouse - Midwest DC,1NB700063EPS2025,Delivered
SN-EPS100141,EPS-2200-A,2025-05-11,Northbridge Assembly Plant - Riverbend,1NB700064EPS2025,Delivered
SN-EPS100068,EPS-2200-A,2025-04-30,Third-Party Warehouse - Midwest DC,1NB700065EPS2025,Delivered
SN-EPS100230,EPS-2200-A,2025-05-21,Northbridge Assembly Plant - Danforth,1NB700066EPS2025,In-Transit
SN-EPS100247,EPS-2200-A,2025-05-21,Northbridge Assembly Plant - Riverbend,1NB700067EPS2025,In-Transit
SN-EPS100116,EPS-2200-A,2025-05-04,Northbridge Assembly Plant - Riverbend,1NB700068EPS2025,Delivered
SN-EPS100110,EPS-2200-A,2025-05-08,Northbridge Assembly Plant - Riverbend,1NB700069EPS2025,Delivered
SN-EPS100112,EPS-2200-A,2025-05-08,Northbridge Assembly Plant - Riverbend,1NB700070EPS2025,Delivered
SN-EPS100166,EPS-2200-A,2025-05-12,Third-Party Warehouse - Midwest DC,1NB700071EPS2025,Delivered
SN-EPS100187,EPS-2200-A,2025-05-14,Third-Party Warehouse - Midwest DC,1NB700072EPS2025,Delivered
SN-EPS100121,EPS-2200-A,2025-05-07,Northbridge Assembly Plant - Danforth,1NB700073EPS2025,Delivered
SN-EPS100137,EPS-2200-B,2025-05-09,Northbridge Assembly Plant - Riverbend,1NB700074EPS2025,Delivered
SN-EPS100169,EPS-2200-A,2025-05-12,Northbridge Assembly Plant - Danforth,1NB700075EPS2025,Delivered
SN-EPS100127,EPS-2200-A,2025-05-07,Northbridge Assembly Plant - Danforth,1NB700076EPS2025,Delivered
SN-EPS100083,EPS-2200-B,2025-05-04,Third-Party Warehouse - Midwest DC,1NB700077EPS2025,Delivered
SN-EPS100142,EPS-2200-B,2025-05-07,Northbridge Assembly Plant - Riverbend,1NB700078EPS2025,Delivered
SN-EPS100070,EPS-2200-A,2025-05-02,Northbridge Assembly Plant - Danforth,1NB700079EPS2025,Delivered
SN-EPS100003,EPS-2200-A,2025-04-23,Northbridge Assembly Plant - Riverbend,1NB700080EPS2025,Delivered
SN-EPS100254,EPS-2200-B,2025-05-22,Third-Party Warehouse - Midwest DC,1NB700081EPS2025,In-Transit
SN-EPS100085,EPS-2200-B,2025-05-04,Northbridge Assembly Plant - Danforth,1NB700082EPS2025,Delivered
SN-EPS100128,EPS-2200-A,2025-05-09,Northbridge Assembly Plant - Danforth,1NB700083EPS2025,Delivered
SN-EPS100184,EPS-2200-B,2025-05-13,Northbridge Assembly Plant - Danforth,1NB700084EPS2025,Delivered
SN-EPS100087,EPS-2200-B,2025-05-05,Northbridge Assembly Plant - Danforth,1NB700085EPS2025,Delivered
SN-EPS100251,EPS-2200-B,2025-05-24,Northbridge Assembly Plant - Danforth,1NB700086EPS2025,In-Transit
SN-EPS100173,EPS-2200-B,2025-05-12,Northbridge Assembly Plant - Danforth,1NB700087EPS2025,Delivered
SN-EPS100030,EPS-2200-A,2025-04-25,Northbridge Assembly Plant - Riverbend,1NB700088EPS2025,Delivered
SN-EPS100196,EPS-2200-A,2025-05-16,Northbridge Assembly Plant - Riverbend,1NB700089EPS2025,Delivered
SN-EPS100176,EPS-2200-A,2025-05-11,Third-Party Warehouse - Midwest DC,1NB700090EPS2025,Delivered
SN-EPS100195,EPS-2200-A,2025-05-18,Northbridge Assembly Plant - Riverbend,1NB700091EPS2025,In-Transit
SN-EPS100149,EPS-2200-A,2025-05-12,Northbridge Assembly Plant - Riverbend,1NB700092EPS2025,Delivered
SN-EPS100006,EPS-2200-A,2025-04-25,Northbridge Assembly Plant - Riverbend,1NB700093EPS2025,Delivered
SN-EPS100057,EPS-2200-A,2025-05-01,Northbridge Assembly Plant - Riverbend,1NB700094EPS2025,Delivered
SN-EPS100138,EPS-2200-A,2025-05-11,Northbridge Assembly Plant - Riverbend,1NB700095EPS2025,Delivered
SN-EPS100160,EPS-2200-B,2025-05-13,Northbridge Assembly Plant - Riverbend,1NB700096EPS2025,Delivered
SN-EPS100147,EPS-2200-A,2025-05-08,Northbridge Assembly Plant - Riverbend,1NB700097EPS2025,Delivered
SN-EPS100066,EPS-2200-A,2025-04-30,Northbridge Assembly Plant - Riverbend,1NB700098EPS2025,Delivered
SN-EPS100144,EPS-2200-B,2025-05-08,Third-Party Warehouse - Midwest DC,1NB700099EPS2025,Delivered
SN-EPS100086,EPS-2200-B,2025-05-03,Northbridge Assembly Plant - Riverbend,1NB700100EPS2025,Delivered
SN-EPS100225,EPS-2200-A,2025-05-19,Northbridge Assembly Plant - Riverbend,1NB700101EPS2025,In-Transit
SN-EPS100216,EPS-2200-A,2025-05-16,Northbridge Assembly Plant - Riverbend,1NB700102EPS2025,Delivered
SN-EPS100032,EPS-2200-B,2025-04-24,Northbridge Assembly Plant - Danforth,1NB700103EPS2025,Delivered
SN-EPS100013,EPS-2200-B,2025-04-22,Northbridge Assembly Plant - Riverbend,1NB700104EPS2025,Delivered
SN-EPS100036,EPS-2200-A,2025-04-28,Third-Party Warehouse - Midwest DC,1NB700105EPS2025,Delivered
SN-EPS100029,EPS-2200-A,2025-04-27,Northbridge Assembly Plant - Riverbend,1NB700106EPS2025,Delivered
SN-EPS100043,EPS-2200-A,2025-04-29,Northbridge Assembly Plant - Riverbend,1NB700107EPS2025,Delivered
SN-EPS100125,EPS-2200-B,2025-05-08,Northbridge Assembly Plant - Riverbend,1NB700108EPS2025,Delivered
SN-EPS100109,EPS-2200-A,2025-05-06,Northbridge Assembly Plant - Danforth,1NB700109EPS2025,Delivered
SN-EPS100118,EPS-2200-A,2025-05-09,Northbridge Assembly Plant - Danforth,1NB700110EPS2025,Delivered
SN-EPS100023,EPS-2200-A,2025-04-24,Northbridge Assembly Plant - Riverbend,1NB700111EPS2025,Delivered
SN-EPS100133,EPS-2200-A,2025-05-06,Northbridge Assembly Plant - Danforth,1NB700112EPS2025,Delivered
SN-EPS100094,EPS-2200-A,2025-05-02,Northbridge Assembly Plant - Riverbend,1NB700113EPS2025,Delivered
SN-EPS100179,EPS-2200-A,2025-05-14,Northbridge Assembly Plant - Riverbend,1NB700114EPS2025,Delivered
SN-EPS100119,EPS-2200-A,2025-05-05,Northbridge Assembly Plant - Riverbend,1NB700115EPS2025,Delivered
SN-EPS100052,EPS-2200-B,2025-04-28,Third-Party Warehouse - Midwest DC,1NB700116EPS2025,Delivered
SN-EPS100113,EPS-2200-A,2025-05-05,Northbridge Assembly Plant - Danforth,1NB700117EPS2025,Delivered
SN-EPS100165,EPS-2200-A,2025-05-14,Third-Party Warehouse - Midwest DC,1NB700118EPS2025,Delivered
SN-EPS100096,EPS-2200-A,2025-05-02,Northbridge Assembly Plant - Riverbend,1NB700119EPS2025,Delivered
SN-EPS100245,EPS-2200-A,2025-05-24,Third-Party Warehouse - Midwest DC,1NB700120EPS2025,In-Transit
SN-EPS100210,EPS-2200-A,2025-05-15,Northbridge Assembly Plant - Riverbend,1NB700121EPS2025,Delivered
SN-EPS100077,EPS-2200-A,2025-05-01,Northbridge Assembly Plant - Danforth,1NB700122EPS2025,Delivered
SN-EPS100042,EPS-2200-B,2025-04-29,Northbridge Assembly Plant - Riverbend,1NB700123EPS2025,Delivered
SN-EPS100199,EPS-2200-A,2025-05-14,Northbridge Assembly Plant - Riverbend,1NB700124EPS2025,Delivered
SN-EPS100232,EPS-2200-A,2025-05-19,Northbridge Assembly Plant - Riverbend,1NB700125EPS2025,In-Transit
SN-EPS100079,EPS-2200-A,2025-05-04,Northbridge Assembly Plant - Danforth,1NB700126EPS2025,Delivered
SN-EPS100156,EPS-2200-A,2025-05-13,Northbridge Assembly Plant - Riverbend,1NB700127EPS2025,Delivered
SN-EPS100027,EPS-2200-A,2025-04-26,Northbridge Assembly Plant - Riverbend,1NB700128EPS2025,Delivered
SN-EPS100255,EPS-2200-B,2025-05-21,Northbridge Assembly Plant - Riverbend,1NB700129EPS2025,In-Transit
SN-EPS100177,EPS-2200-A,2025-05-16,Northbridge Assembly Plant - Danforth,1NB700130EPS2025,Delivered
SN-EPS100001,EPS-2200-A,2025-04-24,Northbridge Assembly Plant - Riverbend,1NB700131EPS2025,Delivered
SN-EPS100253,EPS-2200-B,2025-05-22,Northbridge Assembly Plant - Riverbend,1NB700132EPS2025,In-Transit
SN-EPS100101,EPS-2200-B,2025-05-03,Northbridge Assembly Plant - Riverbend,1NB700133EPS2025,Delivered
SN-EPS100257,EPS-2200-A,2025-05-25,Northbridge Assembly Plant - Riverbend,1NB700134EPS2025,In-Transit
SN-EPS100185,EPS-2200-B,2025-05-12,Northbridge Assembly Plant - Riverbend,1NB700135EPS2025,Delivered
SN-EPS100099,EPS-2200-A,2025-05-03,Northbridge Assembly Plant - Danforth,1NB700136EPS2025,Delivered
SN-EPS100037,EPS-2200-A,2025-04-25,Northbridge Assembly Plant - Riverbend,1NB700137EPS2025,Delivered
SN-EPS100062,EPS-2200-A,2025-04-28,Northbridge Assembly Plant - Riverbend,1NB700138EPS2025,Delivered
SN-EPS100235,EPS-2200-A,2025-05-21,Northbridge Assembly Plant - Riverbend,1NB700139EPS2025,In-Transit
SN-EPS100148,EPS-2200-A,2025-05-10,Northbridge Assembly Plant - Riverbend,1NB700140EPS2025,Delivered
SN-EPS100012,EPS-2200-A,2025-04-26,Northbridge Assembly Plant - Riverbend,1NB700141EPS2025,Delivered
SN-EPS100258,EPS-2200-B,2025-05-23,Third-Party Warehouse - Midwest DC,1NB700142EPS2025,In-Transit
SN-EPS100209,EPS-2200-A,2025-05-17,Northbridge Assembly Plant - Riverbend,1NB700143EPS2025,Delivered
